LGA,Sex,Cases,Population_ERP,Rate
Casey (C),Male,34,157114,21.64
Casey (C),Female,14,156407,8.95
Greater Geelong (C),Female,8,121750,6.57
Greater Geelong (C),Male,30,116853,25.67
Wyndham (C),Male,35,115097,30.41
Wyndham (C),Female,6,112991,5.31
Whittlesea (C),Female,8,104455,7.66
Hume (C),Male,39,104185,37.43
Brimbank (C),Male,37,103711,35.68
Hume (C),Female,7,103645,6.75
Whittlesea (C),Male,26,103426,25.14
Brimbank (C),Female,9,102030,8.82
Monash (C),Female,2,97257,2.06
Monash (C),Male,22,95593,23.01
Boroondara (C),Female,3,91593,3.28
Whitehorse (C),Female,4,87415,4.58
Moreland (C),Female,6,87157,6.88
Boroondara (C),Male,34,85768,39.64
Moreland (C),Male,60,84934,70.64
Whitehorse (C),Male,29,82678,35.08
Greater Dandenong (C),Male,21,82606,25.42
Mornington Peninsula (S),Female,1,82489,1.21
Knox (C),Female,1,81564,1.23
Kingston (C),Female,1,81022,1.23
Darebin (C),Female,4,79460,5.03
Knox (C),Male,13,79101,16.43
Mornington Peninsula (S),Male,13,78373,16.59
Greater Dandenong (C),Female,8,78346,10.21
Yarra Ranges (S),Female,5,78045,6.41
Kingston (C),Male,15,78001,19.23
Yarra Ranges (S),Male,8,77267,10.35
Glen Eira (C),Female,2,76333,2.62
Darebin (C),Male,49,75562,64.85
Melbourne (C),Female,6,75327,7.97
Melbourne (C),Male,226,72712,310.82
Glen Eira (C),Male,42,72679,57.79
Melton (C),Female,23,71276,32.27
Frankston (C),Female,10,70912,14.10
Melton (C),Male,36,70473,51.08
Frankston (C),Male,25,68599,36.44
Banyule (C),Female,3,65102,4.61
Moonee Valley (C),Female,0,63050,
Manningham (C),Female,1,62874,1.59
Banyule (C),Male,20,62591,31.95
Manningham (C),Male,9,60028,14.99
Moonee Valley (C),Male,34,59918,56.74
Maroondah (C),Female,5,58931,8.48
Stonnington (C),Female,3,58048,5.17
Greater Bendigo (C),Female,2,57048,3.51
Maroondah (C),Male,11,56048,19.63
Port Phillip (C),Female,5,55131,9.07
