State,Population_group,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACT,Aboriginal and Torres Strait Islander people,0,24.057791,8.0635643,0,7.6150799,43.987358,54.651108,39.963337,0,9.0731211
ACT,Non-Indigenous people,2.4243846,3.5078316,3.1389372,3.0131874,7.5930352,11.435856,13.429111,11.106856,8.038372,7.7051692
NSW,Aboriginal and Torres Strait Islander people,9.7143373,14.243896,11.453965,13.745765,20.032345,19.753864,31.125296,33.6661,38.193871,45.843586
NSW,Non-Indigenous people,7.8234091,10.355335,10.013587,11.62187,14.419868,19.495148,24.512482,21.964458,23.106207,24.099003
NT,Aboriginal and Torres Strait Islander people,13.976766,64.334557,207.79445,235.07407,355.36633,356.13199,372.84494,278.6817,227.57906,227.68019
NT,Non-Indigenous people,5.7708664,6.7825189,11.87518,12.84845,26.874773,32.748604,18.091082,15.429366,6.3908911,7.2248549
TAS,Aboriginal and Torres Strait Islander people,4.6905403,0,0,0,0,0,0,0,3.779247,0
TAS,Non-Indigenous people,4.6169581,3.2853026,3.6812212,1.29853,2.4643397,1.6441882,1.7749709,1.8470547,1.6551124,6.212266
QLD,Aboriginal and Torres Strait Islander people,44.7,61.3,86.5,103.0,151.1,128.1,131.2,95.1,90.5,102.1
QLD,Non-Indigenous people,5.2,5.9,8.8,10.2,15.9,18.1,17.4,16.5,17.8,17.4
SA,Aboriginal and Torres Strait Islander people,17.4,8.2,40.3,29.0,67.0,92.7,81.3,85.0,60.1,55.7
SA,Non-Indigenous people,2.2,1.7,6.5,4.7,8.1,10.0,7.7,6.0,13.3,16.3
VIC,Aboriginal and Torres Strait Islander people,13.2,18.6,33.0,60.5,56.5,64.6,85.0,43.5,80.3,56.1
VIC,Non-Indigenous people,11.1,11.2,15.7,18.4,21.4,20.9,25.4,21.4,23.0,25.0
WA,Aboriginal and Torres Strait Islander people,8.3,10.8,39.2,52.5,62.0,85.9,224.1,260.0,322.9,292.8
WA,Non-Indigenous people,3.2,3.3,4.7,11.7,10.2,13.4,13.0,17.0,18.2,17.7
