State,Population_group,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACT,Females,0,0,0,0.50897413,1.8253593,0.98608923,2.0646911,1.5432754,0.40898839,0.95742977
ACT,Males,4.8019114,8.2033291,6.5639668,5.460196,13.760933,23.058939,26.482309,22.397196,15.504485,14.812357
ACT,Overall,2.3873637,4.1338272,3.2885184,2.9602225,7.6647406,11.919795,14.171123,11.855047,7.8998237,7.8338776
NSW,Females,0.7633332,0.65304601,0.48574269,0.87956429,1.216127,2.1847541,3.6391263,3.5827482,3.393801,4.8029604
NSW,Males,15.054559,20.359684,19.638733,22.508465,27.898458,36.693829,45.680794,41.133755,43.796097,44.835205
NSW,Overall,7.874887,10.45966,10.032286,11.682317,14.570968,19.505793,24.736967,22.398304,23.595337,24.862846
NT,Females,4.6350632,28.97196,65.455978,93.397209,118.04746,135.9073,136.8371,112.11137,99.99411,92.082359
NT,Males,13.495647,29.250952,95.083305,88.882492,134.83662,135.71854,134.35985,107.15533,75.047684,79.1418
NT,Overall,9.3003263,29.123402,80.936554,90.689262,126.75062,135.27966,135.45372,109.24341,86.715637,85.128448
QLD,Females,2.6641152,3.3072925,4.0144324,4.8381019,9.6230049,9.1449556,11.495044,10.200909,9.6137342,10.437929
QLD,Males,12.061775,13.96303,20.670546,24.534269,36.191448,38.149273,35.666889,31.16482,33.882217,32.927422
QLD,Overall,7.3408322,8.5961113,12.289378,14.569763,22.75581,23.473602,23.391754,20.522102,21.556404,21.590059
SA,Females,0.48376906,0.13612606,1.3034856,1.243674,2.9710727,3.1555071,3.4189868,3.6320386,4.7956152,3.8175893
SA,Males,4.6610136,3.5598879,13.605407,9.4539404,16.578123,21.206816,15.969488,12.471273,24.726007,30.682833
SA,Overall,2.5847423,1.8483852,7.4704833,5.3565936,9.7343731,12.168247,9.6553049,8.0131159,14.688599,17.212963
TAS,Females,0.34947389,0.4040114,0,0.27162451,0.47579768,0.84565109,1.1738394,0,0.82309175,2.3796949
TAS,Males,8.7935963,5.8067975,6.9458728,2.1950426,4.2662783,2.3408179,1.7116476,3.564513,2.6181889,9.5002766
TAS,Overall,4.5759954,3.1043758,3.4715672,1.2282548,2.3452694,1.5617723,1.6788912,1.756708,1.7398808,5.8805599
VIC,Females,1.2668122,0.59128523,1.7436401,3.3181753,5.126153,4.9643502,5.677794,5.5049767,6.1461477,5.6382256
VIC,Males,21.103254,22.174217,30.144012,34.234604,38.243839,37.827976,46.043167,37.490177,40.655689,44.873177
VIC,Overall,11.120836,11.289385,15.852506,18.726425,21.699766,21.359287,25.906366,21.601027,23.539022,25.391554
WA,Females,1.2433187,0.954611,3.0153878,3.7165196,4.409071,6.0981417,13.997579,18.471037,25.905405,22.987698
WA,Males,5.4458618,6.3410807,9.6477098,22.776815,20.958582,27.644234,30.689651,37.218067,39.8363,37.68998
WA,Overall,3.3812294,3.6928434,6.3738623,13.351693,12.765663,16.980259,22.332464,27.839508,32.848389,30.310278
