nhsd_service_id,organization,address,city,state,postcode,latitude,longitude,service_category
e12b3ab5-fee4-400f-04d2-933d24b4688f,Sexual Health Victoria - CBD Clinic,"Level 1,94 Elizabeth Street",MELBOURNE,VIC,3000,-37.815731048583984,144.96417236328125,sexual_health
bea2dfca-aaeb-e1a6-bf44-e5314436eaa1,Melbourne Sexual Health Centre,580 Swanston Street,CARLTON,VIC,3053,-37.80314254760742,144.96377563476562,sexual_health
b49c3a2e-55fd-75e6-9e1f-9f99a35ec834,Family Planning - Launceston,"Family Planning Clinic,269 Wellington Street",SOUTH LAUNCESTON,TAS,7249,-41.44978332519531,147.14137268066406,sexual_health
72508697-8177-8274-5ca1-703fce298155,Family Planning - Launceston,93 PATERSON STREET,EAST LAUNCESTON,TAS,7250,-41.43863979,147.1344139,sexual_health
e8fe78fd-62ce-f130-9b6b-e729b7ba2b4b,Family Planning Tasmania,421 Main Road,GLENORCHY,TAS,7010,-42.83221435546875,147.27207946777344,sexual_health
901472ce-61c3-8c71-ca20-e8bfdf47b97d,Sexual Health and Family Planning ACT (SHFPACT),"Level 1,28 UNIVERSITY AVENUE",CITY,ACT,2601,-35.27982275,149.12569518,sexual_health
2c7f84dd-9444-3cb6-f088-7d2aab896a80,Clinic 34 - Darwin,"Red Wing, Building 4,Royal Darwin Hospital (RDH) campus,105 ROCKLANDS DRIVE",TIWI,NT,0810,-12.353974,130.88303,sexual_health
4a1ae0e7-213c-6cdb-5d92-c7a15ddce195,SHINE SA - Hyde Street Practice,"Level 1,57 Hyde Street",ADELAIDE,SA,5000,-34.92613220214844,138.60440063476562,sexual_health
5bcadf7f-831e-a967-ea40-a75468c4cd27,Lismore Sexual Health Service,4 Shepherd Lane,LISMORE,NSW,2480,-28.80895233154297,153.28872680664062,sexual_health
0fd613ba-0f7d-406f-3b1f-c35958a9ccce,Albury Sexual Health Service: Clinic 72,590 596 Smollett Street,ALBURY,NSW,2640,-36.0817756652832,146.9119415283203,sexual_health
c7456b6e-000c-bece-fcdc-c0a3c69c7533,SHINE SA - Woodville,64C Woodville Road,WOODVILLE,SA,5011,-34.879364013671875,138.53665161132812,sexual_health
a8d9207c-4631-4e29-cb98-8bef9f73f1be,Sexual Health Victoria - Box Hill,901 Whitehorse Road,BOX HILL,VIC,3128,-37.817317962646484,145.12103271484375,sexual_health
87bd40db-7934-8593-f527-63044e5dfeda,Family Planning - Burnie,199 Mount Street,UPPER BURNIE,TAS,7320,-41.07027816772461,145.9013214111328,sexual_health
0bc9f681-72c4-96bf-becb-0a796d231f10,Canberra Hospital - Canberra Sexual Health Centre (CSHC),"Canberra Hospital,Building 8 Level 4 ,Yamba Drive",GARRAN,ACT,2605,-35.34601974487305,149.1009063720703,sexual_health
bd70c931-659f-c3bc-b006-77b55dc24c51,Blue Mountains Sexual Health and HIV Clinic,"Blue Mountains Hospital,Great Western Highway",KATOOMBA,NSW,2780,-33.707359313964844,150.30641174316406,sexual_health
e9790626-2267-7044-e55e-d5ae9f5d2f71,True Relationships & Reproductive Health - Ipswich,"Ipswich Health Plaza,Shop 5,54 Limestone Street",IPSWICH,QLD,4305,-27.61575698852539,152.7609100341797,sexual_health
774c6e9b-b24c-9bbb-66b4-733031444b3d,Nepean Sexual Health And HIV Clinic,"Building C Nepean Hospital,Derby Street",KINGSWOOD,NSW,2747,-33.7613639831543,150.71197509765625,sexual_health
9b2be586-4e75-0130-ad42-e6993085ba93,Sexual Health and HIV Service: Brisbane,"Biala City Community Health Centre,Level 1,270 Roma Street",BRISBANE CITY,QLD,4000,-27.46624755859375,153.01637268066406,sexual_health
4d925610-85af-8efa-c76b-7067af4de87c,SHQ (Sexual Health Quarters),70 Roe Street,NORTHBRIDGE,WA,6003,-31.948776245117188,115.85653686523438,sexual_health
fe62025b-f8ed-518e-9219-3c7ee80c1a28,Mount Isa Sexual Health Clinic,1 Barkly Highway,MOUNT ISA,QLD,4825,-20.727018,139.487502,sexual_health
687c8b7a-b30d-351b-bad3-9ed86f34c370,Clinic 34 - Alice Springs,"Eurilpa House,25 Todd Mall",ALICE SPRINGS,NT,0870,-23.69941161,133.88294168,sexual_health
0a5610d8-2089-4f60-8017-f7b7d125f5d7,Mount Isa Hospital - Sexual Health Services,30 Camooweal Street,MOUNT ISA CITY,QLD,4825,-20.730871200561523,139.4952850341797,sexual_health
f15808aa-3fa4-f9ed-b0a8-3e87eb08bbb9,Lightning Ridge Multi Purpose Service Community Health Centre Sexual Health Service @ Walgett,"Walgett Multi Purpose Service,141 Fox Street",WALGETT,NSW,2832,-30.031299591064453,148.11505126953125,sexual_health
dae2d841-2e7d-a8f5-1e9d-6d4474389a0e,Lightning Ridge Multi Purpose Service Community Health Centre Sexual Health Service @ Goodooga,59 Hammond Street,GOODOOGA,NSW,2838,-29.11012077331543,147.45533752441406,sexual_health
be499671-d247-c0f8-203c-40ec59dfc3c2,Lightning Ridge Multi Purpose Service Community Health Centre Sexual Health Service @ Collarenebri,"Health Service,62 Walgett Street",COLLARENEBRI,NSW,2833,-29.54427719116211,148.58200073242188,sexual_health
c272b0a4-5ba0-25cf-8f5d-d657ccdbd68f,Griffith Sexual Health Service,"Griffith Community Health Service,39 Yambil Street",GRIFFITH,NSW,2680,-34.289283752441406,146.04881286621094,sexual_health
47ca3a39-b855-4997-878e-8d6af2181acb,Aurukun Primary Health Care Centre - Sexual Health Services,Kang Kang Road,AURUKUN,QLD,4892,-13.359514236450195,141.72596740722656,sexual_health
1e86da8d-5221-4c90-b355-6f0c165fef78,Illawarra Shoalhaven Sexual Health Service,"Port Kembla Hospital,89-91 Cowper Street",WARRAWONG,NSW,2502,-34.48531723022461,150.8878936767578,sexual_health
527c8e92-8dba-a43d-1270-698e1ea1bd49,Miller Sexual Health Clinic Spec,18 Woodward Crescent,MILLER,NSW,2168,-33.920265197753906,150.88400268554688,sexual_health
6f4e53a7-5127-7124-0263-7f592d909892,Barwon Health - Sexual Health Clinic,"University Hospital Geleong Outpatients Annexe,Corner Bellerine and Lt Ryrie Street",GEELONG,VIC,3220,-38.151771545410156,144.36434936523438,sexual_health
865c39d3-0150-5a3a-8e5e-8026a1d5478b,Tweed Valley Sexual Health,"Health Hub,Ground Floor,771 CUDGEN ROAD",CUDGEN,NSW,2487,-28.26557272,153.56627106,sexual_health
fc7c5d00-1573-82ae-5d35-842be705e673,Sexual Health Service Tasmania (Hobart),60 Collins Street,HOBART,TAS,7000,-42.88112258911133,147.33059692382812,sexual_health
